name,discipline,games
Fencing at the 1976 Summer Olympics - Women's Foil; Individual,Women's Foil individual,1976 Summer Olympics
Fencing at the 1928 Summer Olympics - Women's Foil; Individual,Women's Foil individual,1928 Summer Olympics
Weightlifting at the 1976 Summer Olympics - Men's Heavyweight  90-110 kg,Men's Weightlifting; Heavyweight 90-110 kg,1976 Summer Olympics
Figure Skating at the 1988 Winter Olympics -Women's Singles,Women's Singles,1988 Winter Olympics
Wrestling at the 1952 Summer Olympics - Men's Freestyle Light Heavyweight,Men's Freestyle Wrestling; Light Heavyweight 79-87kg,1952 Summer Olympics
Fencing at the 1936 Summer Olympics – Men's foil,,
Snowboarding at the 2006 Winter Olympics - Men's Halfpipe,Men's Halfpipe,2006 Winter Olympics
Swimming at the 1968 Summer Olympics – Men's 200 metre breaststroke,Men's 200m breaststroke,1968 Summer Olympics
Cross-country skiing at the 2010 Winter Olympics – Women's 15 kilometre pursuit,Women's 15 km Pursuit,2010 Winter Olympics
Swimming at the 1988 Summer Olympics – Women's 200 metre backstroke,Women's 200m backstroke,1988 Summer Olympics
Shooting at the 1988 Summer Olympics - Women's 25 metre pistol,Women's 25m pistol,1988 Summer Olympics
Wrestling at the 1976 Summer Olympics - Men's freestyle Flyweight,Men's Freestyle Wrestling; flyweight 48-52 kg,1976 Summer Olympics
Canoeing at the 1984 Summer Olympics - Men's K-2 1000 metres,,
Canoeing at the 1968 Summer Olympics - Men's K-2 1000 metres,,
Canoeing at the 1988 Summer Olympics - Men's K-4 1000 metres,,
Handball at the 1992 Summer Olympics - Men's tournament,Men's handball,1992 Summer Olympics
Gymnastics at the 1928 Summer Olympics - Men's Vault,Men's Vault,1928 Summer Olympics
Gymnastics at the 1980 Summer Olympics – Women's artistic team all-around,,
athletics at the 1968 Summer Olympics - Men's Decathlon,Men's Decathlon,1968 Summer Olympics
Alpine Skiing at the 1960 Winter Olympics - Women's Downhill,Women's Downhill,1960 Winter Olympics
Wrestling at the 1956 Summer Olympics - Greco-Roman Heavyweight,Men's Greco-Roman Wrestling; Heavyweight +87,1956 Summer Olympics
Athletics at the 1996 Summer Olympics - Women's 200 metres,Women's Athletics; 200m,1996 Summer Olympics
Weightlifting at the 1968 Summer Olympics - Men's Featherweight 56-60 kg,Men's Weightlifting; Featherweight 56-60kg,1968 Summer Olympics
