country;event;medal;medalist;olympics
Bulgaria;Weightlifting;2004 Summer Olympics;Men's Middle-Heavyweight 85-94 kg;Gold medal;Milen Dobrev;2004 Summer Olympics
United States of America;Swimming;1968 Summer Olympics;Men's 200 metre butterfly;Gold medal;Carl Robie;1968 Summer Olympics
France;Fencing;2000 Summer Olympics ;Women's Épée, Individual;Bronze medal;Laura Flessel-Colovic;2000 Summer Olympics
Denmark;Cycling;2000 Summer Olympics;Men's cross-country;;Michael Rasmussen;2000 Summer Olympics
Mexico;Athletics;2004 Summer Olympics;Women's 400 metres;Silver medal;Ana Guevara;2004 Summer Olympics
Soviet Union;Shooting;1988 Summer Olympics;Men's 50 metre running target;Bronze medal;Gennadi Avramenko;1988 Summer Olympics
Ukraine;Gymnastics;2004 Summer Olympics;Men's Trampoline;Gold medal;Yuri Nikitin;2004 Summer Olympics
Spain;Canoeing;2004 Summer Olympics;Men's C-1 500 metres;Silver medal;David Cal;2004 Summer Olympics
Australia;Shooting;2004 Summer Olympics;Men's Trap;Bronze medal;Adam Vella;2004 Summer Olympics
Soviet Union;athletics;1968 Summer Olympics;Men's High Jump;Bronze medal;Valentin Gavrilov;1968 Summer Olympics
Italy;Cycling;1964 Summer Olympics;Men's sprint;Gold medal;Giovanni Pettenella;1964 Summer Olympics
China;Gymnastics;1984 Summer Olympics;Men's pommel horse;Gold medal;Li Ning;1984 Summer Olympics
Russia;Cycling;2004 Summer Olympics;Men's Individual Time Trial;Silver medal;Vyacheslav Ekimov;2004 Summer Olympics
France;Basketball;2000 Summer Olympics;Men;Silver medal;Frédéric Weis;Crawford Palmer;Laurent Sciarra;Laurent Foirest;Yann Bonato;Antoine Rigaudeau;Moustapha Sonko;Stéphane Risacher;Thierry Gadou;Jim Bilba;Cyril Julian;Makan Dioumassi;2000 Summer Olympics
Sweden;Swimming;1908 Summer Olympics;Men's 200 metre breaststroke;Bronze medal;Pontus Hanson;1908 Summer Olympics
United Kingdom;Athletics;1936 Summer Olympics;Women's 4x100 metre relay;Silver medal;Eileen Hiscock;Violet Olney;Barbara Burke;Audrey Brown;1936 Summer Olympics
United Kingdom;Rowing;1992 Summer Olympics;Men's coxless pairs;Gold medal;Steve Redgrave;Matthew Pinsent;1992 Summer Olympics
Germany;Boxing;1996 Summer Olympics;Light Heavyweight;Bronze medal;Thomas Ulrich;1996 Summer Olympics
Germany;Canoeing;2004 Summer Olympics;Men's K-2 500 metres;Gold medal;Tim Wieskötter;2004 Summer Olympics
Finland;Cross Country Skiing;1952 Winter Olympics;Women's 10 km;Silver medal;Mirja Hietamies;1952 Winter Olympics
Germany;Athletics;1992 Summer Olympics;Men's 5000 metres;Gold medal;Dieter Baumann;1992 Summer Olympics
China;Fencing;1992 Summer Olympics;Women's Foil, Individual;Silver medal;Wang Huifeng;1992 Summer Olympics
United Team of Germany;Wrestling;1960 Summer Olympics;Greco-Roman Middleweight;Silver medal;Lothar Metz;1960 Summer Olympics
Czechoslovakia;Athletics;1948 Summer Olympics;Men's 5000 metres;Silver medal;Emil Zátopek;1948 Summer Olympics
Finland;Cross-Country Skiing;1952 Winter Olympics;Men's 18 km;Silver medal;Tapio Mäkelä;1952 Winter Olympics
Austria;Canoeing;1936 Summer Olympics;Men's K-1 1000 metres;Gold medal;Gregor Hradetzky;1936 Summer Olympics
Hungary;Gymnastics;1992 Summer Olympics;Women's Vault;Gold medal;Henrietta Ónodi;1992 Summer Olympics
Netherlands;Boxing;1992 Summer Olympics;Heavyweight;Bronze medal;Arnold Vanderlyde;1992 Summer Olympics
Romania;Gymnastics;1992 Summer Olympics;Women's artistic individual all-around;Bronze medal;Lavinia Milo?ovici;1992 Summer Olympics
Finland;Wrestling;1936 Summer Olympics;Men's Freestyle Featherweight;Gold medal;Kustaa Pihlajamäki;1936 Summer Olympics
Norway;Alpine skiing;1952 Winter Olympics;Men's giant slalom;Gold medal;Stein Eriksen;1952 Winter Olympics
Finland;Speed skating;1936 Winter Olympics;Men's 1500m;Bronze medal;Birger Wasenius;1936 Winter Olympics
United Kingdom;Athletics;1948 Summer Olympics;Men's marathon;Silver medal;Thomas Richards;1948 Summer Olympics
Spain;Judo;1996 Summer Olympics;Women's 48 kg;Bronze medal;Yolanda Soler;1996 Summer Olympics
Romania;Gymnastics;1996 Summer Olympics;Women's artistic individual all-around;Silver medal;Gina Gogean;1996 Summer Olympics
Soviet Union;Cross Country Skiing;1984 Winter Olympics;Men's 30km;Gold medal;Nikolay Zimyatov;1984 Winter Olympics
Hungary;Canoeing;1996 Summer Olympics;Women's K-1 500 metres;Gold medal;Rita Köbán;1996 Summer Olympics
Norway;Alpine Skiing;1998 Winter Olympics;Men's Slalom;Gold medal;Hans Petter Buraas;1998 Winter Olympics
Japan;Swimming;1936 Summer Olympics;Men's 200 metre breaststroke;Gold medal;Tetsuo Hamuro;1936 Summer Olympics
United States of America;Athletics;1900 Summer Olympics;Men's shot put;Gold medal;Richard Sheldon;1900 Summer Olympics
Soviet Union;Luge;1988 Winter Olympics;Men's Singles;Bronze medal;Yuri Kharchenko;1988 Winter Olympics
Italy;Cross Country Skiing;1994 Winter Olympics;Men's 15km Pursuit;Bronze medal;Silvio Fauner;1994 Winter Olympics
Czech Republic;Cross-Country Skiing;2002 Winter Olympics;Women's 10 km Pursuit  (5 km + 5 km);Silver medal;Kate?ina Neumannová;2002 Winter Olympics
Poland;Athletics;1956 Summer Olympics;Women's Long Jump;Gold medal;El?bieta Krzesi?ska;1956 Summer Olympics
Soviet Union;Nordic Combined;1988 Winter Olympics;Individual;Bronze medal;Allar Levandi;1988 Winter Olympics
France;Fencing;1948 Summer Olympics;Men's Foil, Individual;Gold medal;Jehan Buhan;1948 Summer Olympics
Soviet Union;Luge;1980 Winter Olympics;Women's Singles;Gold medal;Vera Zozula;1980 Winter Olympics
Japan;Swimming;1928 Summer Olympics;Men's 100 metre freestyle;Bronze medal;Katsuo Takaishi;1928 Summer Olympics
Sweden;Wrestling;1972 Summer Olympics;Men's Freestyle Welterweight;Silver medal;Jan Karlsson;1972 Summer Olympics
United States of America;Swimming;1996 Summer Olympics;Women's 400 metre Individual Medley;Silver medal;Allison Wagner;1996 Summer Olympics
United States of America;Athletics;1904 Summer Olympics;Men's 200 metre hurdles;Gold medal;Harry Hillman;1904 Summer Olympics
Germany;Cross-Country Skiing;2006 Winter Olympics;Women's Sprint Individual;Silver medal;Claudia Künzel;2006 Winter Olympics
German Democratic Republic;Athletics;1968 Summer Olympics;Women's shot put;Gold medal;Margitta Gummel-Helmboldt;1968 Summer Olympics
China;Speed Skating;1992 Winter Olympics;Women's 1000m;Silver medal;Ye Qiaobo;1992 Winter Olympics
Ethiopia;Athletics;1972 Summer Olympics;Men's 10000 metres;Bronze medal;Miruts Yifter;1972 Summer Olympics
United States of America;Athletics;1904 Summer Olympics;Men's long jump;Bronze medal;Robert Stangland;1904 Summer Olympics
United States of America;Athletics;1904 Summer Olympics;Men's 110 metre hurdles;Bronze medal;Lesley Ashburner;1904 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's 400 metre hurdles;Bronze medal;August Desch;1920 Summer Olympics
Poland;Athletics;1932 Summer Olympics;Men's 10000 metres;Gold medal;Janusz Kusoci?ski;1932 Summer Olympics
Czechoslovakia;Weightlifting;1932 Summer Olympics;Men's Heavyweight +82.5 kg;Silver medal;Václav Pšeni?ka;1932 Summer Olympics
Finland;Wrestling;1932 Summer Olympics;Men's Freestyle Middleweight;Silver medal;Kyösti Luukko;1932 Summer Olympics
Czechoslovakia;Gymnastics;1928 Summer Olympics;Men's Vault;Silver medal;Emanuel Loffler;1928 Summer Olympics
Chile;Equestrian;1952 Summer Olympics;Jumping, Individual;Silver medal;Oscar Cristi;1952 Summer Olympics
Canada;Canoeing;1948 Summer Olympics;Men's C-1 1000 metres;Silver medal;Douglas Bennett;1948 Summer Olympics
German Democratic Republic;Speed Skating;1984 Winter Olympics;Women's 500m;Gold medal;Christa Rothenburger;1984 Winter Olympics
Yugoslavia;Canoeing;1984 Summer Olympics;Men's K-1 1000 metres;Silver medal;Milan Jani?;1984 Summer Olympics
Germany;Speed Skating;1994 Winter Olympics;Women's 5000m;Silver medal;Gunda Niemann-Stirnemann;1994 Winter Olympics
United Kingdom;Athletics;1960 Summer Olympics;Men's 50km Walk;Gold medal;Don Thompson;1960 Summer Olympics
Finland;Freestyle skiing;1998 Winter Olympics;Men's moguls;Silver medal;Janne Lahtela;1998 Winter Olympics
Switzerland;Equestrian;1976 Summer Olympics;Dressage, Individual;Gold medal;Christine Stückelberger;1976 Summer Olympics
Russia;Speed skating;2006 Winter Olympics;Men's 500m;Silver medal;Dmitry Dorofeyev;2006 Winter Olympics
Slovenia;Canoeing;1996 Summer Olympics;Men's slalom K-1;Silver medal;Andraž Vehovar;1996 Summer Olympics
Australia;Cycling;1972 Summer Olympics;Men's individual road race;Silver medal;Clyde Sefton;1972 Summer Olympics
Hungary;Canoeing;1976 Summer Olympics;Men's C-1 1000 metres;Bronze medal;Tamás Wichmann;1976 Summer Olympics
Japan;Judo;1976 Summer Olympics;Men's Half-Heavyweight (93kg);Gold medal;Kazuhiro Ninomiya;1976 Summer Olympics
Sweden;Diving;1924 Summer Olympics;Women's 10 metre platform;Bronze medal;Hjördis Töpel;1924 Summer Olympics
Belgium;Archery;1920 Summer Olympics;Individual Moving Bird; 33 metres;Gold medal;Hubert Van Innis;1920 Summer Olympics
Italy;Gymnastics;1924 Summer Olympics;Men's rings;Gold medal;Francesco Martino;1924 Summer Olympics
Sweden;Cross-Country Skiing;1964 Winter Olympics;Men's 50km;Gold medal;Sixten Jernberg;1964 Winter Olympics
Germany;Diving;1952 Summer Olympics;Men's 10 metre platform;Bronze medal;Günther Haase;1952 Summer Olympics
Bulgaria;Canoeing;1980 Summer Olympics;Men's C-1 1000 metres;Gold medal;Lyubomir Lyubenov;1980 Summer Olympics
West Germany;Judo;1988 Summer Olympics;Men's Half Heavyweight (95kg);Silver medal;Marc Meiling;1988 Summer Olympics
Italy;Archery;1980 Summer Olympics;Men's Individual;Bronze medal;Giancarlo Ferrari;1980 Summer Olympics
Canada;Short Track Speed Skating;2002 Winter Olympics;Men's 500m;Silver medal;Jonathan Guilmette;2002 Winter Olympics
Bulgaria;Wrestling;1980 Summer Olympics;Men's Freestyle Heavyweight;Silver medal;Slavcho Chervenkov;1980 Summer Olympics
Mongolia;Judo;1980 Summer Olympics;Men's Lightweight (71kg);Bronze medal;Ravdan Davaadalai;1980 Summer Olympics
Sweden;Wrestling;1920 Summer Olympics;Men's Greco-Roman Light Heavyweight;Gold medal;Claes Johansson;1920 Summer Olympics
United Kingdom;Athletics;1988 Summer Olympics;Men's 100 metres;Silver medal;Linford Christie;1988 Summer Olympics
United Kingdom;Athletics;1988 Summer Olympics;Women's Javelin Throw;Silver medal;Fatima Whitbread;1988 Summer Olympics
Hungary;Swimming;1988 Summer Olympics;Women's 200 metre backstroke;Gold medal;Krisztina Egerszegi;1988 Summer Olympics
Norway;Sailing;1928 Summer Olympics;12' Dinghy;Silver medal;Henrik Robert;1928 Summer Olympics
United States of America;Athletics;1932 Summer Olympics;Women's 100 metres;Bronze medal;Wilhelmina von Bremen;1932 Summer Olympics
Finland;Speed Skating;1924 Winter Olympics;Men's 1500m;Gold medal;Clas Thunberg;1924 Winter Olympics
United States of America;Swimming;1932 Summer Olympics;Women's 400 metre freestyle;Silver medal;Lenore Kight;1932 Summer Olympics
United States of America;Gymnastics;1904 Summer Olympics;Men's club swinging;Silver medal;Emil Voigt;1904 Summer Olympics
Sweden;Diving;1912 Summer Olympics;Men's plain high diving;Gold medal;Erik Adlerz;1912 Summer Olympics
Switzerland;Shooting;1900 Summer Olympics;Military rifle; kneeling;Gold medal;Konrad Stäheli;1900 Summer Olympics
South Korea;Short Track Speed Skating;2002 Winter Olympics;Women's 1500m;Gold medal;Ko Gi-Hyun;2002 Winter Olympics
Soviet Union;Speed Skating;1956 Winter Olympics;Men's 1500m;Gold medal;Yevgeny Grishin;1956 Winter Olympics
Germany;Swimming;1996 Summer Olympics;Women's 800 metre freestyle;Silver medal;Dagmar Hase;1996 Summer Olympics
Sweden;Athletics;1948 Summer Olympics;Men's 3000 metre steeplechase;Bronze medal;Göte Hagström;1948 Summer Olympics
Soviet Union;Boxing;1956 Summer Olympics;Lightweight;Bronze medal;Anatoly Lagetko;1956 Summer Olympics
Austria;Alpine skiing;1952 Winter Olympics;Men's giant slalom;Bronze medal;Toni Spiß;1952 Winter Olympics
United States of America;Diving;1928 Summer Olympics;Men's 10 metre platform;Bronze medal;Michael Galitzen;1928 Summer Olympics
Norway;Cross Country Skiing;1968 Winter Olympics;Women's 10km;Bronze medal;Inger Aufles;1968 Winter Olympics
Soviet Union;Sailing;1960 Summer Olympics;Finn;Silver medal;Aleksandr Tsutselov;1960 Summer Olympics
Soviet Union;Gymnastics;1956 Summer Olympics;Women's balance beam;Silver medal;Tamara Manina;1956 Summer Olympics
Canada;Skeleton;2010 Winter Olympics;Men's;Gold medal;Jon Montgomery;2010 Winter Olympics
United States of America;Short track speed skating;2010 Winter Olympics;Men's 1500 metres;Bronze medal;J. R. Celski;2010 Winter Olympics
Russia;Cross-country skiing;2010 Winter Olympics;Men's sprint;Silver medal;Alexander Panzhinskiy;2010 Winter Olympics
Switzerland;Curling;2010 Winter Olympics;Men's tournament;Bronze medal;Jan Hauser;Ralph Stöckli;Markus Eggler;Toni Mueller;Simon Strübin;2010 Winter Olympics
Norway;Curling;2010 Winter Olympics;Men's tournament;Silver medal;Christoffer Svae;Håvard Vad Petersson;Thomas Loevold;Torger Nergård;Thomas Ulsrud;2010 Winter Olympics
Croatia;Biathlon;2010 Winter Olympics;Men's sprint;Bronze medal;Jakov Fak;2010 Winter Olympics
Switzerland;Alpine skiing;2010 Winter Olympics;Men's downhill;Gold medal;Didier Défago;2010 Winter Olympics
Germany;Skeleton;2010 Winter Olympics;Women's;Bronze medal;Kerstin Jürgens;2010 Winter Olympics
Brazil;Swimming;2000 Summer Olympics;Men's 4x100 metre freestyle relay;Bronze medal;Carlos Jayme;Gustavo Borges;Edvaldo Valério;Fernando Scherer;2000 Summer Olympics
Austria;Biathlon;2010 Winter Olympics;Men's relay;Silver medal;Dominik Landertinger;Simon Eder;Christoph Sumann;Daniel Mesotitsch;2010 Winter Olympics
Australia;Cycling;1952 Summer Olympics;Men's tandem;Gold medal;Lionel Cox;1952 Summer Olympics
Norway;Ski jumping;2010 Winter Olympics;Large hill team;Bronze medal;Anders Jacobsen;Johan Remen Evensen;Tom Hilde;Anders Bardal;2010 Winter Olympics
United States of America;Swimming;1972 Summer Olympics;Men's 4 x 200 metre freestyle relay;Gold medal;Fred Tyler;John Kinsella;Mark Spitz;Steve Genter;1972 Summer Olympics
China;Freestyle skiing;2010 Winter Olympics;Men's aerials;Bronze medal;Liu Zhongqing;2010 Winter Olympics
Sweden;Cross-country skiing;2010 Winter Olympics;Men's 30 kilometre pursuit;Gold medal;Marcus Hellner;2010 Winter Olympics
United States of America;Swimming;1972 Summer Olympics;Women's 4 x 100 metre freestyle relay;Gold medal;Jennifer Kemp;Shirley Babashoff;Sandra Neilson;Jane Barkman;1972 Summer Olympics
Czech Republic;Speed skating;2010 Winter Olympics;Women's 5000 metres;Gold medal;Martina Sáblíková;2010 Winter Olympics
Russia;Bobsleigh;2010 Winter Olympics;Two-man;Bronze medal;Alexandre Zoubkov;Alexey Voevoda;2010 Winter Olympics
United States of America;Nordic combined;2010 Winter Olympics;Team large hill/4 x 5 km;Silver medal;Todd Lodwick;Johnny Spillane;Bill Demong;Brett Camerota;2010 Winter Olympics
Norway;Biathlon;2010 Winter Olympics;Men's individual;Silver medal;Ole Einar Bjørndalen;2010 Winter Olympics
Rome;Water polo;;Péter Rusorán;1960 Summer Olympics
Sweden;Cycling;1912 Summer Olympics;Men's individual time trial;;Gunnar Björk;1912 Summer Olympics
United States of America;Cycling;1912 Summer Olympics;Men's individual time trial;;Alvin Loftes;1912 Summer Olympics
France;Cycling;1912 Summer Olympics;Men's individual time trial;;André Lepère;1912 Summer Olympics
France;Cycling;1912 Summer Olympics;Men's individual time trial;;René Gagnet;1912 Summer Olympics
Germany;Cross-country skiing;2002 Winter Olympics;4 x 5 Km relay;Gold medal;Viola Bauer;Evi Sachenbacher-Stehle;Manuela Henkel;Claudia Künzel;2002 Winter Olympics
;Athletics;2004 Summer Olympics;Men's 1.500 metres;;Kamal Boulahfane;2004 Summer Olympics
Indonesia;Volleyball;1996 Summer Olympics;Women's beach volleyball;;Timy Yudhani Rahayu;Eta Kaize;1996 Summer Olympics
Unified Team;Volleyball;1992 Summer Olympics;Women's volleyball;Silver medal;Tatyana Menshova;Svetlana Korytova;Elena Tyurina;Valentina Ogienko;Marina Nikulina;Svetlana Vassilevskaya;Galina Lebedeva;Natalya Morozova;Elena Chebukina;Evgenya Artamonova;Irina Smirnova;Tatyana Sidorenko;1992 Summer Olympics
Jamaica;Athletics;2008 Summer Olympics;Men's 4x100 metre relay;Gold medal;Usain Bolt;2008 Summer Olympics
United States of America;Alpine skiing;2010 Winter Olympics;Men's Super Combined;Gold medal;Bode Miller;2010 Winter Olympics
Canada;Swimming;1976 Summer Olympics;Men's 4 x 100 metre medley relay;Silver medal;Clay Evans;Stephen Pickell;Gary MacDonald;Graham Smith;1976 Summer Olympics
United Kingdom;Skeleton;2010 Winter Olympics;Women's;Gold medal;Amy Williams;2010 Winter Olympics
Finland;Snowboarding;2010 Winter Olympics;Men's halfpipe;Silver medal;Peetu Piiroinen;2010 Winter Olympics
United States of America;Swimming;1976 Summer Olympics;Men's 4 x 200 metre freestyle relay;Gold medal;Mike Bruner;Jim Montgomery;Bruce Furniss;John Naber;1976 Summer Olympics
Australia;Swimming;1960 Summer Olympics;Men's 200 metre butterfly;Silver medal;Neville Hayes;1960 Summer Olympics
Norway;Alpine Skiing;1994 Winter Olympics;Men's Combined;Gold medal;Lasse Kjus;1994 Winter Olympics
United States of America;Speed Skating;1992 Winter Olympics;Women's 1000m;Gold medal;Bonnie Blair;1992 Winter Olympics
Italy;Alpine Skiing;1998 Winter Olympics;Women's Giant Slalom;Gold medal;Deborah Compagnoni;1998 Winter Olympics
Finland;Freestyle skiing;1998 Winter Olympics;Men's moguls;Bronze medal;Sami Mustonen;1998 Winter Olympics
Finland;Wrestling;1920 Summer Olympics;Men's Greco-Roman featherweight;Silver medal;Heikki Kähkönen;1920 Summer Olympics
Poland;Weightlifting;1968 summer Olympics;Men's Lightweight 60-67.5 kg;Gold medal;Waldemar Baszanowski;1968 Summer Olympics
United States of America;Diving;1976 Summer Olympics;Men's 3 metre springboard;Gold medal;Phil Boggs;1976 Summer Olympics
Finland;Athletics;1932 Summer Olympics;Men's 5000 metres;Gold medal;Lauri Lehtinen;1932 Summer Olympics
Sweden;Boxing;1932 Summer Olympics;Men's featherweight;Bronze medal;Allan Carlsson;1932 Summer Olympics
France;Weightlifting;1924 Summer Olympics;Men's Lightweight 60-67.5 kg;Gold medal;Edmond Decottignies;1924 Summer Olympics
Sweden;Modern Pentathlon;1932 Summer Olympics;Men's Individual;Gold medal;Johan Gabriel Oxenstierna;1932 Summer Olympics
Hungary;Swimming;1956 Summer Olympics;Women's 200 metre breaststroke;Silver medal;Éva Székely;1956 Summer Olympics
United States of America;Gymnastics;1904 Summer Olympics;Men's Vault;Bronze medal;William Merz;1904 Summer Olympics
Trinidad and Tobago;Weightlifting;1952 Summer Olympics;Men's Middle Heavyweight  82.5-90 kg;Bronze medal;Lennox Kilgour;1952 Summer Olympics
South Korea;Judo;1992 Summer Olympics;Men's Extra Lightweight (60kg);Silver medal;Yoon Hyun;1992 Summer Olympics
German Democratic Republic;Canoeing;1972 Summer Olympics;Men's slalom K-1;Gold medal;Siegbert Horn;1972 Summer Olympics
Czechoslovakia;Gymnastics;1948 Summer Olympics;Men's Vault;Bronze medal;Leo Sotornik;1948 Summer Olympics
German Democratic Republic;Athletics;1976 Summer Olympics;Women's 100 metres;Silver medal;Renate Stecher;1976 Summer Olympics
United States of America;Speed Skating;1968 Winter Olympics;Men's 500m;Silver medal;Terry McDermott;1968 Winter Olympics
Soviet Union;Fencing;1980 Summer Olympics;Men's Foil, Individual;Gold medal;Vladimir Smirnov;1980 Summer Olympics
German Democratic Republic;Gymnastics;1972 Summer Olympics;Women's uneven bars;Gold medal;Karin Janz;1972 Summer Olympics
Netherlands;Speed Skating;1968 Winter Olympics;Men's 1500m;Gold medal;Kees Verkerk;1968 Winter Olympics
Russia;Cross Country Skiing;1998 Winter Olympics;Women's 5km;Gold medal;Larisa Lazutina;1998 Winter Olympics
Norway;Cross-Country Skiing;1992 Winter Olympics;Men's 30km;Bronze medal;Terje Langli;1992 Winter Olympics
United States of America;Boxing;1904 Summer Olympics;Heavyweight;Gold medal;Samuel Berger;1904 Summer Olympics
Soviet Union;Boxing;1952 Summer Olympics;Flyweight;Bronze medal;Anatoli Bulakov;1952 Summer Olympics
Italy;Boxing;1984 Summer Olympics;Light Flyweight;Silver medal;Salvatore Todisco;1984 Summer Olympics
France;Fencing;1900 Summer Olympics;Men's Épée, Individual;Silver medal;Louis Perrée;1900 Summer Olympics
United States of America;Speed Skating;1980 Winter Olympics;Men's 1500m;Gold medal;Eric Heiden;1980 Winter Olympics
China;Weightlifting;2008 Summer Olympics;Men's Bantamweight -56 kg;Gold medal;Long Qingquan;2008 Summer Olympics
United States of America;Handball;1976 Summer Olympics;Men's tournament;;Ezra Glantz;1976 Summer Olympics
Italy;Fencing;1984 Summer Olympics;Men's Foil, Individual;Gold medal;Mauro Numa;1984 Summer Olympics
United States of America;Shooting;1920 Summer Olympics;Military rifle; standing;Gold medal;Carl Osburn;1920 Summer Olympics
West Germany;Weightlifting;1988 Summer Olympics;Men's Super Heavyweight +110 kg;Silver medal;Manfred Nerlinger;1988 Summer Olympics
United States of America;Tennis;1904 Summer Olympics;Men's Singles;Bronze medal;Alphonzo Bell;1904 Summer Olympics
Poland;Judo;1992 Summer Olympics;Men's Middleweight (86kg);Gold medal;Waldemar Legie?;1992 Summer Olympics
Canada;Cycling;1996 Summer Olympics;Men's points race;Silver medal;Brian Walton;1996 Summer Olympics
Poland;Athletics;1932 Summer Olympics;Women's 100 metres;Gold medal;Stanis?awa Walasiewicz;1932 Summer Olympics
Russia;Athletics;2008 Summer Olympics;Men's 50 km walk;Bronze medal;Denis Nizhegorodov;2008 Summer Olympics
Japan;Swimming;1932 Summer Olympics;Men's 1500 metre freestyle;Gold medal;Kusuo Kitamura;1932 Summer Olympics
German Democratic Republic;Athletics;1976 Summer Olympics;Women's Javelin Throw;Gold medal;Ruth Fuchs;1976 Summer Olympics
United Kingdom;Athletics;1928 Summer Olympics;Men's 200 metres;Silver medal;Walter Rangeley;1928 Summer Olympics
Kenya;Athletics;2008 Summer Olympics;Men's 800 metres;Gold medal;Wilfred Bungei;2008 Summer Olympics
United States of America;Gymnastics;1996 Summer Olympics;Women's Uneven Bars;Silver medal;Amy Chow;1996 Summer Olympics
United States of America;Athletics;1988 Summer Olympics;Men's 400 metres;Silver medal;Butch Reynolds;1988 Summer Olympics
Canada;Athletics;1912 Summer Olympics;Men's 10 kilometre walk;Gold medal;George Goulding;1912 Summer Olympics
United States of America;Athletics;1996 Summer Olympics;Men's 400 metre hurdles;Gold medal;Derrick Adkins;1996 Summer Olympics
Netherlands;Swimming;1976 Summer Olympics;Women's 200 metre freestyle;Bronze medal;Enith Brigitha;1976 Summer Olympics
New Zealand;Cycling;1952 Summer Olympics;Men's sprint;;Colin Dickinson;1952 Summer Olympics
United States of America;Sailing;1964 Summer Olympics;Finn;Silver medal;Peter Barrett;1964 Summer Olympics
Lithuania;Athletics;1992 Summer Olympics;Men's discus throw;Gold medal;Romas Ubartas;1992 Summer Olympics
Belgium;Cycling;2000 Summer Olympics;Men's cross-country;;Roel Paulissen;2000 Summer Olympics
Italy;Cycling;1964 Summer Olympics;Men's 1000m Time Trial;Silver medal;Giovanni Pettenella;1964 Summer Olympics
Unified Team;Athletics;1992 Summer Olympics;Men's pole vault;Gold medal;Maksim Tarasov;1992 Summer Olympics
Soviet Union;Speed Skating;1976 Winter Olympics;Women's 1000m;Gold medal;Tatyana Averina;1976 Winter Olympics
United States of America;Freestyle Skiing;1992 Winter Olympics;Men's Moguls;Bronze medal;Nelson Carmichael;1992 Winter Olympics
Sweden;Athletics;1948 Summer Olympics;Men's 400 metre hurdles;Bronze medal;Rune Larsson;1948 Summer Olympics
France;Canoeing;1980 Summer Olympics;Men's K-1 1000 metres;Silver medal;Alain Lebas;1980 Summer Olympics
Cuba;Boxing;1980 Summer Olympics;Featherweight;Silver medal;Adolfo Horta;1980 Summer Olympics
United States of America;athletics;1968 Summer Olympics;Men's High Jump;Silver medal;Ed Caruthers;1968 Summer Olympics
Cuba;Fencing;1900 Summer Olympics;Men's Épée, Individual;Gold medal;Ramón Fonst;1900 Summer Olympics
South Africa;Tennis;1912 Summer Olympics;Men's Outdoor Singles;Gold medal;Charles Winslow;1912 Summer Olympics
United States of America;Diving;1904 Summer Olympics;Plunge for distance;Gold medal;William Dickey;1904 Summer Olympics
Kazakhstan;Modern pentathlon;1996 Summer Olympics; Men's Individual;Gold medal;Alexander Parygin;1996 Summer Olympics
France;Croquet;1900 Summer Olympics;Singles; one ball;Gold medal;Aumoitte;1900 Summer Olympics
United States of America;Wrestling;1904 Summer Olympics;Men's freestyle flyweight;Bronze medal;William Nelson;1904 Summer Olympics
Norway;Shooting;1920 Summer Olympics;Men's 100 metre running deer; double shots;Gold medal;Ole Lilloe-Olsen;1920 Summer Olympics
Canada;Equestrian;2008 Summer Olympics;Jumping, Individual;Gold medal;Eric Lamaze;2008 Summer Olympics
Poland;Boxing;1964 Summer Olympics;Light welterweight;Gold medal;Jerzy Kulej;1964 Summer Olympics
Norway;Cross-Country Skiing;1928 Winter Olympics;Men's 18 km;Gold medal;Johan Grøttumsbråten;1928 Winter Olympics
Canada;Canoeing;1948 Summer Olympics;Men's C-1 10000 metres;Bronze medal;Norman Lane;1948 Summer Olympics
Kazakhstan;Cycling;2004 Summer Olympics;Men's individual road race;;Alexander Vinokourov;2004 Summer Olympics
Egypt;Boxing;1960 Summer Olympics;Flyweight;Bronze medal;Abdel Moneim El-Guindi;1960 Summer Olympics
United States of America;Swimming;1924 Summer Olympics;Women's 400 metre freestyle;Bronze medal;Gertrude Ederle;1924 Summer Olympics
Austria;Sailing;1980 Summer Olympics;Finn Class;Silver medal;Wolfgang Mayrhofer;1980 Summer Olympics
Sweden;Diving;1912 Summer Olympics;Men's plain high diving;Silver medal;Hjalmar Johansson;1912 Summer Olympics
Sweden;Athletics;1928 Summer Olympics;Women's 800 metres;Bronze medal;Inga Gentzel;1928 Summer Olympics
Switzerland;Gymnastics;1924 Summer Olympics;Men's pommel horse;Bronze medal;Antoine Rebetez;1924 Summer Olympics
Australia;Equestrian;1960 Summer Olympics;Individual Eventing;Gold medal;Lawrence Morgan;1960 Summer Olympics
Romania;Boxing;1952 Summer Olympics;Lightweight;Bronze medal;Gheorghe Fiat;1952 Summer Olympics
Romania;Wrestling;1976 Summer Olympics;Men's Greco-Roman Light Flyweight;Silver medal;Gheorghe Berceanu;1976 Summer Olympics
Mongolia;Wrestling;1980 Summer Olympics;Men's Freestyle Bantamweight;Bronze medal;Dugarsuren Ouinbold;1980 Summer Olympics
China;Swimming;1992 Summer Olympics;Women's 50 metre freestyle;Silver medal;Yong Zhuang;1992 Summer Olympics
German Democratic Republic;Athletics;1980 Summer Olympics;Men's long jump;Silver medal;Frank Paschek;1980 Summer Olympics
Japan;Wrestling;1972 Summer Olympics;Men's Freestyle Bantamweight;Gold medal;Hideaki Yanagida;1972 Summer Olympics
