country;event;medal;medalist;olympics
Japan;Swimming;1932 Summer Olympics;Men's 200 metre breaststroke;Gold medal;Yoshiyuki Tsuruta;1932 Summer Olympics
Hungary;Gymnastics;1932 Summer Olympics;Men's Floor Exercises;Gold medal;István Pelle;1932 Summer Olympics
Poland;Wrestling;1980 Summer Olympics;Men's Greco-Roman Middleweight;Silver medal;Jan Do?gowicz;1980 Summer Olympics
Germany;Speed Skating;1998 Winter Olympics;Women's 1500m;Silver medal;Gunda Niemann-Stirnemann;1998 Winter Olympics
Germany;Athletics;1936 Summer Olympics;Men's hammer throw;Gold medal;Karl Hein;1936 Summer Olympics
Austria;Shooting;1980 Summer Olympics;Men's 25 metre rapid fire pistol;Bronze medal;Gerhard Petritsch;1980 Summer Olympics
Czechoslovakia;Wrestling;1980 Summer Olympics;Men's Freestyle Heavyweight;Bronze medal;Julius Strnisko;1980 Summer Olympics
Spain;Canoeing;2008 Summer Olympics;Men's C-1 1000 metres;Silver medal;David Cal;2008 Summer Olympics
Austria;Skeleton;2002 Winter Olympics;Men's Skeleton;Silver medal;Martin Rettl;2002 Winter Olympics
Soviet Union;Shooting;1980 Summer Olympics;Trap Shooting;Silver medal;Rustam Yambulatov;1980 Summer Olympics
Soviet Union;Swimming;1980 Summer Olympics;Men's 200 metre butterfly;Gold medal;Sergey Fesenko, Sr.;1980 Summer Olympics
Germany;Biathlon;2002 Winter Olympics;Men's 20 km Individual;Silver medal;Frank Luck;2002 Winter Olympics
Germany;Luge;2002 Winter Olympics;Men's singles;Silver medal;Georg Hackl;2002 Winter Olympics
Soviet Union;Wrestling;1980 Summer Olympics;Men's Greco-Roman 57 kg;Gold medal;Shamil Serikov;1980 Summer Olympics
United States of America;Sailing;1992 Summer Olympics;Women's Europe;Bronze medal;Julia Trotman;1992 Summer Olympics
Bulgaria;Wrestling;1980 Summer Olympics;Men's Greco-Roman Super Heavyweight;Silver medal;Alexander Tomov;1980 Summer Olympics
Soviet Union;Weightlifting;1956 Summer Olympics;Men's Middleweight 67.5-75 kg;Gold medal;Fyodor Bogdanovsky;1956 Summer Olympics
Sweden;Shooting;1912 Summer Olympics;Men's 100 metre running deer; double shots;Bronze medal;Oscar Swahn;1912 Summer Olympics
China;Gymnastics;1992 Summer Olympics;Men's parallel bars;Bronze medal;Linyao Guo;1992 Summer Olympics
China;Swimming;1992 Summer Olympics;Women's 50 metre freestyle;Gold medal;Wenyi Yang;1992 Summer Olympics
Finland;Athletics;1972 Summer Olympics;Men's 10000 metres;Gold medal;Lasse Virén;1972 Summer Olympics
United States of America;Boxing;1920 Summer Olympics;Men's lightweight;Gold medal;Samuel Mosberg;1920 Summer Olympics
United Kingdom;Athletics;1900 Summer Olympics;Men's 4000 metre steeplechase;Bronze medal;Sidney Robinson;1900 Summer Olympics
Finland;Athletics;1924 Summer Olympics;Men's 3000 metre steeplechase;Silver medal;Elias Katz;1924 Summer Olympics
United Kingdom;Judo;1992 Summer Olympics;Women's 52 kg;Bronze medal;Sharon Rendle;1992 Summer Olympics
Poland;Shooting;1992 Summer Olympics;Women's 50 metre rifle; three positions;Bronze medal;Malgorzata Ksiazkiewicz;1992 Summer Olympics
Romania;Athletics;1972 Summer Olympics;Women's Discus Throw;Silver medal;Argentina Menis;1972 Summer Olympics
France;Weightlifting;1920 Summer Olympics;Men's Heavyweight +82.5 kg;Bronze medal;Louis Bernot;1920 Summer Olympics
Switzerland;Alpine Skiing;1992 Winter Olympics;Men's Combined;Bronze medal;Steve Locher;1992 Winter Olympics
Finland;Athletics;1976 Summer Olympics;Men's Javelin Throw;Silver medal;Hannu Siitonen;1976 Summer Olympics
Poland;Wrestling;1976 Summer Olympics;Men's Greco-Roman Heavyweight;Bronze medal;Andrzej Skrzydlewski;1976 Summer Olympics
Poland;Modern Pentathlon;1976 Summer Olympics;Men's Individual;Gold medal;Janusz Pyciak-Peciak;1976 Summer Olympics
Hungary;Shooting;1952 Summer Olympics;Men's 25 metre rapid fire pistol;Gold medal;Károly Takács;1952 Summer Olympics
German Democratic Republic;Athletics;1976 Summer Olympics;Women's Discus Throw;Gold medal;Evelin Schlaak;1976 Summer Olympics
Soviet Union;Boxing;1960 Summer Olympics;Flyweight;Silver medal;Sergei Sivko;1960 Summer Olympics
United States of America;Alpine Skiing;1994 Winter Olympics;Women's Downhill;Silver medal;Picabo Street;1994 Winter Olympics
Iceland;Athletics;1956 Summer Olympics;Men's triple jump;Silver medal;Vilhjálmur Einarsson;1956 Summer Olympics
Sweden;Athletics;1920 Summer Olympics;Men's long jump;Bronze medal;Erik Abrahamsson;1920 Summer Olympics
United States of America;Shooting;1924 Summer Olympics;Men's 25 metre rapid fire pistol;Gold medal;Henry Bailey;1924 Summer Olympics
Yugoslavia;Shooting;1996 Summer Olympics;Women's 50 metre rifle three positions;Gold medal;Aleksandra Ivosev;1996 Summer Olympics
United States of America;Swimming;1904 Summer Olympics;Men's 220 yard freestyle;Gold medal;Charles Daniels;1904 Summer Olympics
Germany;Biathlon;1998 Winter Olympics;Women's 7.5km Sprint;Silver medal;Uschi Disl;1998 Winter Olympics
Austria;Alpine Skiing;1960 Winter Olympics;Men's Giant Slalom;Silver medal;Josef Stiegler;1960 Winter Olympics
Soviet Union;Speed Skating;1976 Winter Olympics;Men's 500m;Gold medal;Yevgeny Kulikov;1976 Winter Olympics
Japan;Ski Jumping;1972 Winter Olympics;Men's Normal Hill;Bronze medal;Selji Aochi;1972 Winter Olympics
Hungary;Athletics;1924 Summer Olympics;Men's pentathlon;Silver medal;Elemér Somfay;1924 Summer Olympics
United Kingdom;Swimming;1988 Summer Olympics;Men's 100 metre breaststroke;Gold medal;Adrian Moorhouse;1988 Summer Olympics
Czechoslovakia;Gymnastics;1924 Summer Olympics;Men's parallel bars;Silver medal;Robert Pražák;1924 Summer Olympics
Finland;Sailing;1928 Summer Olympics;12' Dinghy;Bronze medal;Bertel Broman;1928 Summer Olympics
Norway;Shooting;1924 Summer Olympics;Men's 100 metre running deer; double shots;Gold medal;Ole Lilloe-Olsen;1924 Summer Olympics
Soviet Union;Speed Skating;1960 Winter Olympics;Women's 500m;Silver medal;Nataliya Donchenko;1960 Winter Olympics
Mexico;Athletics;1992 Summer Olympics;Men's 50 km walk;Silver medal;Carlos Mercenario;1992 Summer Olympics
Norway;Sailing;1992 Summer Olympics;Women's Europe;Gold medal;Linda Andersen;1992 Summer Olympics
United States of America;Alpine Skiing;1952 Winter Olympics;Women's Slalom;Gold medal;Andrea Mead-Lawrence;1952 Winter Olympics
West Germany;Shooting;1988 Summer Olympics;Women's 50 metre rifle; three positions;Gold medal;Silvia Sperber;1988 Summer Olympics
France;Cycling;1996 Summer Olympics;Women's individual road race;Gold medal;Jeannie Longo;1996 Summer Olympics
South Korea;Judo;1988 Summer Olympics;Men's Extra Lightweight (-60kg);Gold medal;Kim Jae-Yup;1988 Summer Olympics
Finland;Wrestling;1928 Summer Olympics;Men's Greco-Roman Heavyweight;Silver medal;Hjalmar Nyström;1928 Summer Olympics
United States of America;Athletics;1976 Summer Olympics;Men's 800 metres;Bronze medal;Rick Wohlhuter;1976 Summer Olympics
Norway;Cross-Country Skiing;1928 Winter Olympics;Men's 18 km;Bronze medal;Reidar Ødegaard;1928 Winter Olympics
Germany;Alpine Skiing;1998 Winter Olympics;Women's Combined;Bronze medal;Hilde Gerg;1998 Winter Olympics
Indonesia;Badminton;1996 Summer Olympics;Women's Singles;Bronze medal;Susi Susanti;1996 Summer Olympics
Norway;Speed skating;2010 Winter Olympics;Men's 1500 metres;Bronze medal;Håvard Bøkko;2010 Winter Olympics
Switzerland;Ski jumping;2010 Winter Olympics;Large hill individual;Gold medal;Simon Ammann;2010 Winter Olympics
Austria;Nordic combined;2010 Winter Olympics;Team large hill/4 x 5 km;Gold medal;Bernhard Gruber;Mario Stecher;David Kreiner;Felix Gottwald;2010 Winter Olympics
Sweden;Alpine skiing;2010 Winter Olympics;Women's Super Combined;Bronze medal;Anja Pärson;2010 Winter Olympics
Russia;Biathlon;2010 Winter Olympics;Men's relay;Bronze medal;Evgeny Ustyugov;Ivan Tcherezov;Anton Shipulin;Maxim Tchoudov;2010 Winter Olympics
Germany;Biathlon;2010 Winter Olympics;Women's relay;Bronze medal;Martina Glagow;Simone Hauswald;Andrea Henkel;Kati Wilhelm;2010 Winter Olympics
France;Judo;2008 Summer Olympics;Women's 78 kg;Bronze medal;Stephanie Possamai;2008 Summer Olympics
South Korea;;Bronze medal;Pak Chol Min;2008 Summer Olympics
Russia;Wrestling;2008 Summer Olympics;Men's Freestyle Featherweight;Gold medal;Mavlet Batirov;2008 Summer Olympics
Soviet Union;Diving;1980 Summer Olympics;Women's 10 metre platform;Bronze medal;Liana Tsotadze;1980 Summer Olympics
Kenya;Athletics;2008 Summer Olympics;Women's marathon;Silver medal;Catherine Ndereba;2008 Summer Olympics
United States of America;Diving;1920 Summer Olympics;Men's 10 metre platform;Gold medal;Clarence Pinkston;1920 Summer Olympics
France;Gymnastics;2008 Summer Olympics;Men's artistic individual all-around;Bronze medal;Benoît Caranobe;2008 Summer Olympics
Italy;Judo;2008 Summer Olympics;Women's 57 kg;Gold medal;Giulia Quintavalle;2008 Summer Olympics
Australia;Swimming;2008 Summer Olympics;Women's 200 metre Individual Medley;Gold medal;Stephanie Rice;2008 Summer Olympics
United States of America;Basketball;2004 Summer Olympics;Men's basketball;Bronze medal;Dwyane Wade;Lamar Odom;Emeka Okafor;Stephon Marbury;Tim Duncan;Carmelo Anthony;Carlos Boozer;Shawn Marion;LeBron James;Richard Jefferson;Amare Stoudemire;Allen Iverson;2004 Summer Olympics
